workload,qubits,backend,mean_ms,ci95_ms,backend_over_mettleq,result_contract
phase_estimation,15,CUDA-Q NVIDIA GPU,58.42093433238915,1.741599369862956,18.332689465041877,synchronized full state
phase_estimation,15,PennyLane Lightning GPU,10.353528999985429,0.5862489634461046,3.248972892903682,synchronized full state
phase_estimation,15,Qiskit Aer statevector CPU,7.622399333323908,3.3450369147661276,2.3919350409789093,synchronized full state
phase_estimation,15,PennyLane Lightning CPU,6.57594000009946,0.2681659615884681,2.063552514868529,synchronized full state
phase_estimation,20,MettleQ Metal,10.87000000795039,0.18830314042621016,1.0,synchronized full state
phase_estimation,20,CUDA-Q NVIDIA GPU,67.22182300048492,2.345016309002038,6.184160345107491,synchronized full state
phase_estimation,20,PennyLane Lightning GPU,31.35874866651041,0.41329818637847937,2.884889479629661,synchronized full state
phase_estimation,20,Qiskit Aer statevector CPU,46.54299766665796,9.274831000374135,4.281784510820249,synchronized full state
phase_estimation,20,PennyLane Lightning CPU,104.16201433326933,2.113158267116213,9.582522010771347,synchronized full state
phase_estimation,24,MettleQ Metal,152.1610696800053,0.517941655884021,1.0,synchronized full state
phase_estimation,24,CUDA-Q NVIDIA GPU,81.5391036667279,8.969044707793376,0.5358736228537603,synchronized full state
phase_estimation,24,PennyLane Lightning GPU,361.6269173329177,47.41387008586051,2.37660604051627,synchronized full state
phase_estimation,24,Qiskit Aer statevector CPU,1014.4367786666635,31.190630404382503,6.66686150932051,synchronized full state
phase_estimation,24,PennyLane Lightning CPU,3435.1799963330145,64.03080184386397,22.575945368662282,synchronized full state
phase_estimation,26,MettleQ Metal,572.1684723393992,5.589000549572485,1.0,synchronized full state
phase_estimation,26,CUDA-Q NVIDIA GPU,147.11362266583214,17.671021994624148,0.25711591913538223,synchronized full state
phase_estimation,26,PennyLane Lightning GPU,1436.7753026666226,19.083700626095695,2.5111053337003084,synchronized full state
phase_estimation,26,Qiskit Aer statevector CPU,4109.79377066667,57.89644344590483,7.182838568268439,synchronized full state
phase_estimation,26,PennyLane Lightning CPU,15180.197648333282,59.00237028940439,26.53099284947788,synchronized full state
phase_estimation,28,MettleQ Metal,2391.845152984994,32.048683001167404,1.0,synchronized full state
phase_estimation,28,CUDA-Q NVIDIA GPU,359.29473999991995,11.878228675213927,0.15021655542856713,synchronized full state
phase_estimation,28,PennyLane Lightning GPU,7686.5790463331605,745.5329491227748,3.213660816102749,synchronized full state
phase_estimation,28,Qiskit Aer statevector CPU,16735.428236333366,802.110090777798,6.9968694317220965,synchronized full state
phase_estimation,28,PennyLane Lightning CPU,68616.7496963335,586.7070902527659,28.6877892620685,synchronized full state
tfim_trotter,15,MettleQ Metal,5.911986333861326,5.4378934365791975,1.0,synchronized full state
tfim_trotter,15,CUDA-Q NVIDIA GPU,97.5838829993639,10.413919753537527,16.50610767491887,synchronized full state
tfim_trotter,15,PennyLane Lightning GPU,33.11653599970062,0.49965938947620725,5.6015921095797,synchronized full state
